,date,signal,target,qrank,stat_type,value
153,20000104,signal_MR_1d,fret_MR_1d,qr_50,long_ratio,0.908692933083177
154,20000104,signal_MR_1d,fret_RR_3d,qr_50,long_ratio,0.9083438685208597
155,20000104,signal_MR_1d,fret_MR_3d,qr_50,long_ratio,0.9083438685208597
156,20000104,signal_MR_1d,fret_RR_1d,qr_25,long_ratio,0.915
157,20000104,signal_MR_1d,fret_MR_1d,qr_25,long_ratio,0.915
158,20000104,signal_MR_1d,fret_RR_3d,qr_25,long_ratio,0.9165613147914032
159,20000104,signal_MR_1d,fret_MR_3d,qr_25,long_ratio,0.9165613147914032
160,20000104,signal_RR_1d,fret_RR_1d,qr_100,spearman,-0.011830381925068648
161,20000104,signal_RR_1d,fret_MR_1d,qr_100,spearman,-0.011830381925068648
162,20000104,signal_RR_1d,fret_RR_3d,qr_100,spearman,0.012711998302195158
163,20000104,signal_RR_1d,fret_MR_3d,qr_100,spearman,0.012711998302195158
164,20000104,signal_RR_1d,fret_RR_1d,qr_75,spearman,-0.014350980813679944
165,20000104,signal_RR_1d,fret_MR_1d,qr_75,spearman,-0.014350980813679944
166,20000104,signal_RR_1d,fret_RR_3d,qr_75,spearman,0.012079236431228409
167,20000104,signal_RR_1d,fret_MR_3d,qr_75,spearman,0.012079236431228409
168,20000104,signal_RR_1d,fret_RR_1d,qr_50,spearman,-0.024677361825760667
169,20000104,signal_RR_1d,fret_MR_1d,qr_50,spearman,-0.024677361825760667
170,20000104,signal_RR_1d,fret_RR_3d,qr_50,spearman,0.012061821356697127
171,20000104,signal_RR_1d,fret_MR_3d,qr_50,spearman,0.012061821356697127
172,20000104,signal_RR_1d,fret_RR_1d,qr_25,spearman,-0.03141909607119606
173,20000104,signal_RR_1d,fret_MR_1d,qr_25,spearman,-0.03141909607119606
174,20000104,signal_RR_1d,fret_RR_3d,qr_25,spearman,0.005619558025073464
175,20000104,signal_RR_1d,fret_MR_3d,qr_25,spearman,0.005619558025073464
176,20000104,signal_MR_1d,fret_RR_1d,qr_100,spearman,-0.011830381925068648
177,20000104,signal_MR_1d,fret_MR_1d,qr_100,spearman,-0.011830381925068648
178,20000104,signal_MR_1d,fret_RR_3d,qr_100,spearman,0.012711998302195158
179,20000104,signal_MR_1d,fret_MR_3d,qr_100,spearman,0.012711998302195158
180,20000104,signal_MR_1d,fret_RR_1d,qr_75,spearman,-0.003968189430453202
181,20000104,signal_MR_1d,fret_MR_1d,qr_75,spearman,-0.003968189430453202
182,20000104,signal_MR_1d,fret_RR_3d,qr_75,spearman,0.00388311634219685
183,20000104,signal_MR_1d,fret_MR_3d,qr_75,spearman,0.00388311634219685
184,20000104,signal_MR_1d,fret_RR_1d,qr_50,spearman,-0.0029879762335184457
185,20000104,signal_MR_1d,fret_MR_1d,qr_50,spearman,-0.0029879762335184457
186,20000104,signal_MR_1d,fret_RR_3d,qr_50,spearman,-0.0030355027249209213
187,20000104,signal_MR_1d,fret_MR_3d,qr_50,spearman,-0.0030355027249209213
188,20000104,signal_MR_1d,fret_RR_1d,qr_25,spearman,0.03184828793352927
189,20000104,signal_MR_1d,fret_MR_1d,qr_25,spearman,0.03184828793352927
190,20000104,signal_MR_1d,fret_RR_3d,qr_25,spearman,0.04309029960153683
191,20000104,signal_MR_1d,fret_MR_3d,qr_25,spearman,0.04309029960153683
192,20000104,signal_RR_1d,fret_RR_1d,qr_100,n,3197.0
193,20000104,signal_RR_1d,fret_MR_1d,qr_100,n,3197.0
194,20000104,signal_RR_1d,fret_RR_3d,qr_100,n,3163.0
195,20000104,signal_RR_1d,fret_MR_3d,qr_100,n,3163.0
196,20000104,signal_RR_1d,fret_RR_1d,qr_75,n,2398.0
197,20000104,signal_RR_1d,fret_MR_1d,qr_75,n,2398.0
198,20000104,signal_RR_1d,fret_RR_3d,qr_75,n,2375.0
199,20000104,signal_RR_1d,fret_MR_3d,qr_75,n,2375.0
200,20000104,signal_RR_1d,fret_RR_1d,qr_50,n,1599.0
201,20000104,signal_RR_1d,fret_MR_1d,qr_50,n,1599.0
202,20000104,signal_RR_1d,fret_RR_3d,qr_50,n,1582.0
203,20000104,signal_RR_1d,fret_MR_3d,qr_50,n,1582.0
204,20000104,signal_RR_1d,fret_RR_1d,qr_25,n,800.0
205,20000104,signal_RR_1d,fret_MR_1d,qr_25,n,800.0
206,20000104,signal_RR_1d,fret_RR_3d,qr_25,n,791.0
207,20000104,signal_RR_1d,fret_MR_3d,qr_25,n,791.0
208,20000104,signal_MR_1d,fret_RR_1d,qr_100,n,3197.0
209,20000104,signal_MR_1d,fret_MR_1d,qr_100,n,3197.0
210,20000104,signal_MR_1d,fret_RR_3d,qr_100,n,3163.0
211,20000104,signal_MR_1d,fret_MR_3d,qr_100,n,3163.0
212,20000104,signal_MR_1d,fret_RR_1d,qr_75,n,2398.0
213,20000104,signal_MR_1d,fret_MR_1d,qr_75,n,2398.0
214,20000104,signal_MR_1d,fret_RR_3d,qr_75,n,2372.0
215,20000104,signal_MR_1d,fret_MR_3d,qr_75,n,2372.0
216,20000104,signal_MR_1d,fret_RR_1d,qr_50,n,1599.0
217,20000104,signal_MR_1d,fret_MR_1d,qr_50,n,1599.0
218,20000104,signal_MR_1d,fret_RR_3d,qr_50,n,1582.0
219,20000104,signal_MR_1d,fret_MR_3d,qr_50,n,1582.0
220,20000104,signal_MR_1d,fret_RR_1d,qr_25,n,800.0
221,20000104,signal_MR_1d,fret_MR_1d,qr_25,n,800.0
222,20000104,signal_MR_1d,fret_RR_3d,qr_25,n,791.0
223,20000104,signal_MR_1d,fret_MR_3d,qr_25,n,791.0
224,20000105,signal_RR_1d,fret_RR_1d,qr_100,pnl,-7.981361707606804
225,20000105,signal_RR_1d,fret_MR_1d,qr_100,pnl,-5.144489707606802
226,20000105,signal_RR_1d,fret_RR_1d,qr_75,pnl,-7.866437056404202
227,20000105,signal_RR_1d,fret_MR_1d,qr_75,pnl,-5.208311056404199
228,20000105,signal_RR_1d,fret_RR_1d,qr_50,pnl,-6.593142993775997
229,20000105,signal_RR_1d,fret_MR_1d,qr_50,pnl,-4.500084993775995
230,20000105,signal_RR_1d,fret_RR_1d,qr_25,pnl,-4.072520901249184
231,20000105,signal_RR_1d,fret_MR_1d,qr_25,pnl,-3.0192649012491826
232,20000105,signal_MR_1d,fret_RR_1d,qr_100,pnl,-10.567641312426284
233,20000105,signal_MR_1d,fret_MR_1d,qr_100,pnl,-7.12341731242628
234,20000105,signal_MR_1d,fret_RR_1d,qr_75,pnl,-8.81119289486195
235,20000105,signal_MR_1d,fret_MR_1d,qr_75,pnl,-5.889752894861948
236,20000105,signal_MR_1d,fret_RR_1d,qr_50,pnl,-7.108324322208294
237,20000105,signal_MR_1d,fret_MR_1d,qr_50,pnl,-4.880726322208291
238,20000105,signal_MR_1d,fret_RR_1d,qr_25,pnl,-3.9815174398528175
239,20000105,signal_MR_1d,fret_MR_1d,qr_25,pnl,-2.882133439852817
240,20000105,signal_RR_1d,fret_RR_1d,qr_100,ppd,-0.0024957353682322713
241,20000105,signal_RR_1d,fret_MR_1d,qr_100,ppd,-0.0016086584451553477
